place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
59,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
60,739.0601220024967,4,1033.3802931648297,3,1544.298196306781,3,2491.6152654874872,2,2474.834485237055,2,1480.4751197725623,3,2245.3729407419883,2,781.5752688327926,4,23,686.1500152625171,False
61,739.0601220024967,4,1033.3802931648297,3,1544.298196306781,3,2491.6152654874872,2,2474.834485237055,2,1480.4751197725623,3,2245.3729407419883,2,781.5752688327926,4,23,686.1500152625171,False
62,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
63,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
64,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
65,857.9495236314664,4,1152.2696947937993,3,1663.1875979357505,3,2610.504667116457,2,2593.7238868660247,2,1599.3645214015319,3,2364.262342370958,2,900.4646704617624,4,23,805.0394168914868,False
66,609.5807314001829,4,903.900902562516,4,1414.8188057044674,3,2362.1358748851735,2,2345.3550946347414,2,1350.9957291702488,3,2115.8935501396745,2,652.0958782304789,4,24,556.6706246602033,False
67,696.6548127066883,4,990.9749838690213,4,1501.8928870109726,3,2449.209956191679,2,2432.4291759412467,2,1438.069810476754,3,2202.96763144618,2,739.1699595369843,4,24,643.7447059667087,False
68,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
69,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
70,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
71,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
72,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
73,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
74,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
75,739.0601220024967,4,1033.3802931648297,3,1544.298196306781,3,2491.6152654874872,2,2474.834485237055,2,1480.4751197725623,3,2245.3729407419883,2,781.5752688327926,4,23,686.1500152625171,False
76,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
